,Willingness,Reflection,Trust,Engagement
0,4.0,3.25,3.625,3.0
1,4.222222222222222,4.25,3.875,3.4285714285714284
2,2.888888888888889,3.75,3.0,3.4285714285714284
3,3.4444444444444446,3.625,4.125,3.142857142857143
4,2.3333333333333335,1.875,3.0,3.2857142857142856
5,2.888888888888889,2.75,2.875,2.857142857142857
6,3.5555555555555554,3.25,3.75,2.857142857142857
7,4.0,4.0,4.0,2.857142857142857
8,3.6666666666666665,3.625,3.625,3.4285714285714284
9,3.3333333333333335,4.0,2.125,3.0
10,2.888888888888889,3.0,3.0,2.7142857142857144
11,5.0,4.125,2.875,4.0
12,3.6666666666666665,4.125,3.25,3.142857142857143
13,3.6666666666666665,3.25,3.5,3.0
14,3.5555555555555554,3.375,3.75,3.2857142857142856
15,3.7777777777777777,3.75,3.625,3.142857142857143
16,2.888888888888889,2.5,3.5,3.0
17,3.6666666666666665,4.5,3.875,3.857142857142857
18,3.3333333333333335,3.875,3.75,3.142857142857143
19,4.333333333333333,4.25,4.375,4.0
20,3.111111111111111,3.375,3.5,3.7142857142857144
21,1.3333333333333333,2.75,1.0,1.8571428571428572
22,3.6666666666666665,3.75,2.5,3.142857142857143
23,4.555555555555555,3.75,3.875,3.7142857142857144
24,3.5555555555555554,3.125,3.25,3.5714285714285716
25,3.0,4.625,4.5,3.4285714285714284
26,4.0,4.0,4.0,3.857142857142857
27,4.0,4.0,3.375,3.2857142857142856
28,4.0,4.0,4.0,3.142857142857143
29,3.0,3.625,3.25,2.7142857142857144
30,2.5555555555555554,2.25,2.75,2.5714285714285716
31,3.4444444444444446,3.875,3.5,3.2857142857142856
32,3.4444444444444446,3.375,3.25,2.857142857142857
33,3.3333333333333335,4.375,3.5,3.2857142857142856
34,3.888888888888889,4.125,4.125,4.285714285714286
35,3.2222222222222223,4.125,3.875,3.4285714285714284
36,2.4444444444444446,3.5,2.125,2.5714285714285716
37,3.2222222222222223,3.75,3.75,3.5714285714285716
38,2.7777777777777777,4.125,2.75,4.142857142857143
39,1.5555555555555556,3.375,4.0,2.7142857142857144
40,4.555555555555555,4.375,4.625,4.0
41,2.111111111111111,2.5,3.5,2.7142857142857144
42,1.8888888888888888,2.75,3.0,3.142857142857143
43,3.3333333333333335,3.875,4.0,3.7142857142857144
44,3.111111111111111,4.125,3.5,3.0
45,3.6666666666666665,3.625,4.5,2.2857142857142856
46,4.444444444444445,4.5,4.25,4.0
47,3.5555555555555554,4.0,4.5,4.285714285714286
48,3.7777777777777777,3.375,4.125,2.7142857142857144
49,2.888888888888889,2.625,3.0,2.7142857142857144
50,3.4444444444444446,3.375,2.75,2.4285714285714284
51,4.0,4.5,4.375,4.142857142857143
52,1.7777777777777777,2.625,4.5,2.5714285714285716
53,2.111111111111111,2.75,2.5,1.8571428571428572
54,3.888888888888889,4.125,4.125,3.2857142857142856
55,2.888888888888889,2.625,4.25,2.5714285714285716
56,3.0,3.75,3.75,3.0
57,3.0,3.625,3.625,3.0
58,2.3333333333333335,2.25,2.125,3.2857142857142856
59,2.7777777777777777,4.125,3.75,3.2857142857142856
60,3.5555555555555554,3.375,3.0,3.4285714285714284
61,2.6666666666666665,2.25,2.5,2.857142857142857
62,3.5555555555555554,3.875,4.375,2.7142857142857144
63,3.3333333333333335,2.875,2.0,3.2857142857142856
64,2.888888888888889,4.0,1.875,2.0
65,2.5555555555555554,3.375,3.375,2.857142857142857
66,2.888888888888889,3.375,3.5,2.142857142857143
67,2.7777777777777777,3.25,3.125,2.5714285714285716
68,2.888888888888889,3.625,3.375,3.142857142857143
69,3.2222222222222223,3.125,3.75,3.7142857142857144
70,1.5555555555555556,2.375,3.0,2.0
71,3.4444444444444446,3.875,3.375,3.5714285714285716
72,2.888888888888889,2.5,4.0,2.857142857142857
73,2.5555555555555554,3.5,2.75,2.4285714285714284
74,2.7777777777777777,3.375,3.75,3.0
75,4.0,4.0,3.375,3.7142857142857144
76,2.5555555555555554,3.0,2.125,2.2857142857142856
77,3.6666666666666665,4.0,4.0,3.0
78,4.222222222222222,4.75,4.5,3.7142857142857144
79,3.7777777777777777,2.75,3.75,3.7142857142857144
80,4.0,3.625,3.75,3.4285714285714284
81,4.222222222222222,4.75,4.125,3.5714285714285716
82,3.4444444444444446,4.0,2.75,3.2857142857142856
83,2.5555555555555554,3.75,3.125,2.857142857142857
84,3.6666666666666665,4.25,4.875,3.4285714285714284
85,3.7777777777777777,3.625,3.5,3.5714285714285716
86,1.8888888888888888,3.125,3.375,2.7142857142857144
87,2.888888888888889,3.75,3.5,3.2857142857142856
88,4.111111111111111,4.375,3.75,3.5714285714285716
89,2.6666666666666665,3.0,2.375,2.4285714285714284
90,3.3333333333333335,4.25,4.25,2.4285714285714284
91,2.888888888888889,2.625,3.125,3.4285714285714284
92,2.0,2.625,3.25,2.857142857142857
93,3.6666666666666665,3.75,3.75,3.0
94,2.0,2.875,3.25,2.4285714285714284
95,3.4444444444444446,3.25,3.375,3.142857142857143
96,2.7777777777777777,2.75,3.375,2.5714285714285716
97,3.3333333333333335,3.375,3.625,3.142857142857143
98,1.6666666666666667,2.25,2.375,2.4285714285714284
99,2.888888888888889,2.75,3.75,3.7142857142857144
